Banned,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Budew,,,,,,,,,,,,,,Basc.B,Lickilicky,Lanturn,Ariados,Poliwrath,Gabite,Sentret,Gulpin
Combee,,,,,,,,,,,,,,,Gourg.L,Piloswine,,Whiscash,Magcargo,Espurr,Abra
Nincada,,,,,,,,,,,,,,,,Jynx,,Foongus,Sliggoo,Honedge,Oddish
Meowstic,,,,,,,,,,,,,,,,Sandslash,,Garbodor,Carnivine,Whirlipede,Ducklett
Venipede,,,,,,,,,,,,,,,,Cryogonal,,Abomasnow,Lombre,Croagunk,Swirlix
Hoppip,,,,,,,,,,,,,,,,Gligar,,Gurdurr,Heatmor,Spritzee,Munchlax
Whismur,,,,,,,,,,,,,,,,Gourg.M,,Gothorita,Fearow,Skiploom,Loudred
Zubat,,,,,,,,,,,,,,,,,,,Jigglypuff,Meditite,Axew
Inkay,,,,,,,,,,,,,,,,,,,Altaria,Mienfoo,Drifloon
Wingull,,,,,,,,,,,,,,,,,,,,Seviper,Spoink
Taillow,,,,,,,,,,,,,,,,,,,,Shelgon,Bagon
Horsea,,,,,,,,,,,,,,,,,,,,Dwebble,Binacle
Sandile,,,,,,,,,,,,,,,,,,,,Seadra,Tentacool
Helioptile,,,,,,,,,,,,,,,,,,,,Rhyhorn,Wailmer
Electrike,,,,,,,,,,,,,,,,,,,,Cubone,Skrelp
Makuhita,,,,,,,,,,,,,,,,,,,,Tyrunt,Clauncher
Starly,,,,,,,,,,,,,,,,,,,,Nosepass,Staryu
Nidoran F,,,,,,,,,,,,,,,,,,,,Staravia,Shellder
Nidoran M,,,,,,,,,,,,,,,,,,,,Mime Jr.,Hippopotas
Chingling,,,,,,,,,,,,,,,,,,,,Boldore,Onix
Solosis,,,,,,,,,,,,,,,,,,,,Mantyke,Woobat
Wynaut,,,,,,,,,,,,,,,,,,,,Corsola,Machop
Roggenrola,,,,,,,,,,,,,,,,,,,,Diglett,Amaura
Mareep,,,,,,,,,,,,,,,,,,,,Trapinch,Ferroseed
Slugma,,,,,,,,,,,,,,,,,,,,Graveler,Snubbull
Wooper,,,,,,,,,,,,,,,,,,,,Shuckle,Houndour
Barboach,,,,,,,,,,,,,,,,,,,,Weepinbell,Eevee
Poochyena,,,,,,,,,,,,,,,,,,,,Poliwhirl,Golett
Patrat,,,,,,,,,,,,,,,,,,,,Ekans,Stunky
Gourgeist,,,,,,,,,,,,,,,,,,,,Stunfisk,Nidorina
Litwick,,,,,,,,,,,,,,,,,,,,Purrloin,Nidorino
Swinub,,,,,,,,,,,,,,,,,,,,Watchog,Flaaffy
Spinarak,,,,,,,,,,,,,,,,,,,,Snover,Slowpoke
Spearow,,,,,,,,,,,,,,,,,,,,Delibird,Exeggcute
Noibat,,,,,,,,,,,,,,,,,,,,Aron,Remoraid
Hoothoot,,,,,,,,,,,,,,,,,,,,Lairon,Chinchou
Igglybuff,,,,,,,,,,,,,,,,,,,,Pupitar,Vibrava
Shuppet,,,,,,,,,,,,,,,,,,,,Noctowl,Gible
Bonsly,,,,,,,,,,,,,,,,,,,,Gothita,Geodude
Dratini,,,,,,,,,,,,,,,,,,,,Spinda,Skorupi
Xerneas,,,,,,,,,,,,,,,,,,,,Lickitung,Goomy
Yveltal,,,,,,,,,,,,,,,,,,,,Zweilous,Karrablast
Zygarde,,,,,,,,,,,,,,,,,,,,Dragonair,Shelmet
Mewtwo,,,,,,,,,,,,,,,,,,,,,Bellsprout
M-Mewtwo X,,,,,,,,,,,,,,,,,,,,,Gastly
M-Mewtwo Y,,,,,,,,,,,,,,,,,,,,,Poliwag
M-Blaziken,,,,,,,,,,,,,,,,,,,,,Pawniard
,,,,,,,,,,,,,,,,,,,,,Lotad
,,,,,,,,,,,,,,,,,,,,,Buizel
,,,,,,,,,,,,,,,,,,,,,Phantump
,,,,,,,,,,,,,,,,,,,,,Pumpkaboo
,,,,,,,,,,,,,,,,,,,,,Lampent
,,,,,,,,,,,,,,,,,,,,,Magnemite
,,,,,,,,,,,,,,,,,,,,,Voltorb
,,,,,,,,,,,,,,,,,,,,,Trubbish
,,,,,,,,,,,,,,,,,,,,,Bergmite
,,,,,,,,,,,,,,,,,,,,,Cubchoo
,,,,,,,,,,,,,,,,,,,,,Smoochum
,,,,,,,,,,,,,,,,,,,,,Vanillite
,,,,,,,,,,,,,,,,,,,,,Vanillish
,,,,,,,,,,,,,,,,,,,,,Timburr
,,,,,,,,,,,,,,,,,,,,,Sandshrew
,,,,,,,,,,,,,,,,,,,,,Larvitar
,,,,,,,,,,,,,,,,,,,,,Zorua
,,,,,,,,,,,,,,,,,,,,,Teddiursa
,,,,,,,,,,,,,,,,,,,,,Swablu
,,,,,,,,,,,,,,,,,,,,,Deino

